STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,# IDP INDIVIDUALS,# IDP HOUSEHOLDS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
River Nile,SD16,Shendi,SD16010,45,9,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,70,14,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,45,9,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,50,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,55,11,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,150,30,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Shendi,SD16010,20,4,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,25,5,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,50,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,35,7,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,10,2,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,20,4,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,5,1,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Al Matama,SD16009,85,17,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Barbar,SD16013,15,3,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Barbar,SD16013,10,2,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Barbar,SD16013,20,4,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Barbar,SD16013,5,1,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Barbar,SD16013,30,6,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Barbar,SD16013,45,9,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Ad Damar,SD16011,105,21,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Ad Damar,SD16011,10,2,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Ad Damar,SD16011,5,1,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Abu Hamad,SD16008,10,2,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
River Nile,SD16,Abu Hamad,SD16008,10,2,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Abu Hujar,SD14037,355,71,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Abu Hujar,SD14037,85,17,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,195,39,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,255,51,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,165,33,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sharg Sennar,SD14042,135,27,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sennar,SD14038,180,36,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sennar,SD14038,140,28,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sennar,SD14038,200,40,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sennar,SD14038,150,30,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sennar,SD14038,350,70,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Ad Dinder,SD14040,350,70,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,Sinja,SD14043,1800,360,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
Sennar,SD14,As Suki,SD14041,1000,200,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Kosti,SD09047,70,14,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Kosti,SD09047,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Kosti,SD09047,35,7,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Kosti,SD09047,75,15,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Kosti,SD09047,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Rabak,SD09046,250,50,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Rabak,SD09046,500,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Rabak,SD09046,650,130,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Aj Jabalain,SD09051,350,70,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Al Gitaina,SD09050,1250,250,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Tendalti,SD09048,400,80,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Ad Diwaim,SD09044,700,140,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,Um Rimta,SD09045,750,150,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,As Salam / Ar Rawat,SD09049,85,17,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,As Salam / Ar Rawat,SD09049,100,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,As Salam / Ar Rawat,SD09049,200,40,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,As Salam / Ar Rawat,SD09049,50,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
White Nile,SD09,As Salam / Ar Rawat,SD09049,500,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
West Darfur,SD04,Ag Geneina,SD04115,194593,38919,West Darfur,SD04,Ag Geneina,SD04115
